training_loss,training_rmse,test_loss,test_rmse
5.245674,0.644334,5.254434,0.638575
5.076053,0.614457,5.098970,0.612833
4.990412,0.603673,4.981485,0.602893
4.967687,0.597977,4.909492,0.597513
4.874329,0.594434,4.860483,0.594129
4.860745,0.592010,4.811420,0.591793
4.838553,0.590235,4.767068,0.590072
4.772408,0.588876,4.757849,0.588755
4.788203,0.587800,4.745381,0.587698
4.750525,0.586916,4.711250,0.586832
4.708796,0.586176,4.739487,0.586105
4.696818,0.585567,4.686692,0.585507
4.614676,0.585028,4.665934,0.584975
4.667033,0.584552,4.690809,0.584506
4.665659,0.584127,4.634542,0.584085
4.658171,0.583747,4.629854,0.583709
4.639990,0.583400,4.646648,0.583365
4.557513,0.583082,4.635303,0.583051
4.598859,0.582791,4.586434,0.582762
4.614894,0.582520,4.606562,0.582493
4.540384,0.582270,4.581309,0.582246
4.581789,0.582046,4.589398,0.582023
4.721625,0.582036,4.731620,0.582022
4.569900,0.581862,4.640119,0.581843
4.584553,0.581673,4.619754,0.581654
4.526232,0.581491,4.548142,0.581474
4.623891,0.581319,4.568745,0.581302
4.528276,0.581156,4.571127,0.581141
4.524639,0.581004,4.525557,0.580989
4.585643,0.580863,4.545631,0.580849
4.470429,0.580728,4.539909,0.580715
4.469516,0.580602,4.517857,0.580590
4.494575,0.580487,4.543156,0.580476
4.464928,0.580374,4.507880,0.580363
4.477042,0.580266,4.515543,0.580257
4.472630,0.580168,4.502172,0.580159
4.490777,0.580073,4.502390,0.580064
4.528857,0.579982,4.467852,0.579974
4.976728,0.579927,4.564910,0.579925
4.443509,0.579855,4.489614,0.579848
4.467781,0.579777,4.482081,0.579770
4.448253,0.579701,4.485564,0.579695
4.430974,0.579629,4.468925,0.579622
4.441198,0.579559,4.489338,0.579553
4.474827,0.579493,4.480466,0.579488
4.484850,0.579431,4.454262,0.579425
4.456551,0.579377,4.484981,0.579373
4.518089,0.579321,4.461128,0.579316
4.413389,0.579265,4.442153,0.579260
4.665198,0.579319,4.576435,0.579321
4.472564,0.579295,4.500327,0.579291
4.493123,0.579249,4.451046,0.579245
4.508397,0.579201,4.436286,0.579197
4.397726,0.579153,4.420450,0.579148
4.474904,0.579105,4.411884,0.579101
4.437665,0.579059,4.388421,0.579055
4.403110,0.579014,4.403382,0.579010
4.451424,0.578987,4.481678,0.578983
4.442696,0.578945,4.422045,0.578942
4.464689,0.578904,4.399294,0.578900
4.415667,0.578863,4.417972,0.578860
4.454818,0.578824,4.399717,0.578820
4.403070,0.578785,4.398358,0.578781
4.397964,0.578748,4.397506,0.578745
4.431329,0.578712,4.402500,0.578709
4.401472,0.578677,4.392891,0.578674
4.409549,0.578643,4.389481,0.578640
4.483802,0.578610,4.384175,0.578607
4.448901,0.578577,4.359742,0.578575
4.409226,0.578547,4.375447,0.578544
4.490485,0.578563,4.447005,0.578562
4.429860,0.578543,4.385300,0.578541
4.363550,0.578517,4.368701,0.578514
4.478344,0.578490,4.370629,0.578487
4.367556,0.578463,4.339475,0.578460
4.382176,0.578436,4.322476,0.578434
4.492501,0.578411,4.364491,0.578408
4.367326,0.578385,4.335695,0.578383
4.402456,0.578360,4.364167,0.578359
4.390915,0.578337,4.340732,0.578335
4.381191,0.578314,4.334920,0.578312
4.435279,0.578292,4.361171,0.578290
4.407769,0.578272,4.356133,0.578271
4.378263,0.578252,4.328275,0.578251
4.493975,0.578247,4.444371,0.578246
4.515244,0.578244,4.468540,0.578243
4.546597,0.578246,4.606137,0.578247
4.448918,0.578236,4.405758,0.578234
4.413075,0.578218,4.340272,0.578216
4.382537,0.578198,4.348647,0.578196
4.360921,0.578178,4.328390,0.578176
4.344325,0.578159,4.330857,0.578157
4.332194,0.578140,4.348479,0.578138
4.369020,0.578123,4.362103,0.578122
4.426917,0.578112,4.364612,0.578111
4.341790,0.578094,4.349588,0.578092
4.338468,0.578076,4.336713,0.578074
4.388123,0.578058,4.326678,0.578057
4.368817,0.578040,4.311989,0.578039
4.721843,0.578096,4.747757,0.578101
