t,x,y,z,tx1,tx2,tx3,tx4,tx5,tx6,tx7,tx8,tx9,tx10,tx11,tx12,tx13,tx14,tx15,tx16,tx17,tx18,tx19,tx20,tx21,tx22,tx23,tx24,tx25
1667897331077.0,750.02,598.52,94.5,-55.0,-62.0,-67.0,-63.0,-66.0,-69.0,-67.0,-69.0,-69.0,-67.0,-70.0,-71.0,-74.0,-70.0,-72.0,-74.0,-72.0,-70.0,-69.0,-68.0,-67.0,-57.0,-53.0,-73.0,-61.0
1667897331202.0,759.46,579.46,94.11,-55.0,-63.0,-67.0,-63.0,-66.0,-68.0,-67.0,-69.0,-69.0,-64.0,-70.0,-69.0,-69.0,-68.0,-72.0,-77.0,-72.0,-66.0,-71.0,-57.0,-68.0,-62.0,-56.0,-74.0,-62.0
1667897331338.0,770.0,559.05,94.94,-56.0,-62.0,-60.0,-62.0,-58.0,-48.0,-66.0,-69.0,-72.0,-67.0,-66.0,-62.0,-70.0,-55.0,-72.0,-74.0,-71.0,-47.0,-70.0,-60.0,-65.0,-61.0,-51.0,-73.0,-62.0
1667897331467.0,785.33,532.77,100.32,-56.0,-63.0,-66.0,-63.0,-61.0,-68.0,-68.0,-68.0,-76.0,-68.0,-70.0,-56.0,-70.0,-70.0,-72.0,-72.0,-71.0,-67.0,-72.0,-69.0,-59.0,-56.0,-53.0,-78.0,-65.0
1667897331589.0,797.86,507.42,101.7,-56.0,-62.0,-66.0,-64.0,-64.0,-67.0,-68.0,-67.0,-69.0,-65.0,-66.0,-61.0,-66.0,-70.0,-71.0,-72.0,-71.0,-71.0,-69.0,-68.0,-70.0,-61.0,-53.0,-73.0,-63.0
1667897331706.0,801.97,493.42,100.82,-57.0,-60.0,-66.0,-64.0,-65.0,-67.0,-67.0,-68.0,-68.0,-65.0,-68.0,-71.0,-71.0,-70.0,-71.0,-72.0,-71.0,-70.0,-57.0,-73.0,-69.0,-60.0,-64.0,-76.0,-54.0
1667897331827.0,801.51,487.09,99.48,-56.0,-61.0,-66.0,-62.0,-50.0,-67.0,-66.0,-66.0,-69.0,-65.0,-70.0,-72.0,-70.0,-70.0,-72.0,-72.0,-71.0,-70.0,-64.0,-73.0,-66.0,-60.0,-59.0,-68.0,-60.0
1667897331984.0,799.17,481.51,98.93,-49.0,-62.0,-66.0,-65.0,-62.0,-68.0,-66.0,-69.0,-69.0,-62.0,-67.0,-56.0,-69.0,-70.0,-72.0,-71.0,-63.0,-67.0,-60.0,-72.0,-66.0,-57.0,-74.0,-72.0,-64.0
1667897332114.0,800.35,459.28,95.6,-46.0,-62.0,-66.0,-63.0,-64.0,-66.0,-68.0,-67.0,-69.0,-54.0,-66.0,-65.0,-71.0,-70.0,-71.0,-36.0,-62.0,-68.0,-70.0,-63.0,-65.0,-60.0,-67.0,-60.0,-62.0
1667897332244.0,804.92,435.36,94.73,-56.0,-56.0,-57.0,-63.0,-64.0,-66.0,-42.0,-67.0,-70.0,-68.0,-70.0,-70.0,-70.0,-70.0,-70.0,-73.0,-54.0,-69.0,-69.0,-69.0,-65.0,-44.0,-66.0,-68.0,-64.0
1667897332378.0,812.38,404.74,100.86,-57.0,-60.0,-65.0,-65.0,-63.0,-68.0,-56.0,-57.0,-68.0,-63.0,-68.0,-71.0,-69.0,-69.0,-71.0,-72.0,-67.0,-70.0,-71.0,-69.0,-65.0,-59.0,-63.0,-70.0,-58.0
