address,packet_id,rssi,count,rx_speed,tx_speed,last_time_elapsed,total_time_elapsed,timestamp
f0:91:27:6b:7a:0a,1,-34,1,78.00,78.00,28315,78,28315
f0:91:27:6b:7a:0a,2,-38,2,75.50,75.50,73,151,28388
f0:91:27:6b:7a:0a,3,-33,3,78.67,78.67,85,236,28473
f0:91:27:6b:7a:0a,4,-34,4,78.50,78.50,78,314,28551
f0:91:27:6b:7a:0a,7,-33,5,109.00,77.86,231,545,28782
f0:91:27:6b:7a:0a,8,-36,6,104.00,78.00,79,624,28861
f0:91:27:6b:7a:0a,9,-39,7,100.43,78.11,79,703,28940
f0:91:27:6b:7a:0a,11,-34,8,108.25,78.73,163,866,29103
f0:91:27:6b:7a:0a,12,-32,9,105.44,79.08,83,949,29186
f0:91:27:6b:7a:0a,14,-38,10,111.00,79.29,161,1110,29347
f0:91:27:6b:7a:0a,15,-38,11,107.36,78.73,71,1181,29418
f0:91:27:6b:7a:0a,16,-34,12,106.08,79.56,92,1273,29510
f0:91:27:6b:7a:0a,17,-37,13,103.85,79.41,77,1350,29587
f0:91:27:6b:7a:0a,22,-31,14,124.79,79.41,397,1747,29984
f0:91:27:6b:7a:0a,23,-32,15,122.20,79.70,86,1833,30070
f0:91:27:6b:7a:0a,24,-37,16,119.81,79.88,84,1917,30154
f0:91:27:6b:7a:0a,25,-30,17,117.29,79.76,77,1994,30231
f0:91:27:6b:7a:0a,26,-31,18,114.72,79.42,71,2065,30302
f0:91:27:6b:7a:0a,29,-31,19,121.26,79.45,239,2304,30541
f0:91:27:6b:7a:0a,31,-37,20,123.10,79.42,158,2462,30699
f0:91:27:6b:7a:0a,34,-33,21,128.67,79.47,240,2702,30939
f0:91:27:6b:7a:0a,35,-37,22,126.59,79.57,83,2785,31022
f0:91:27:6b:7a:0a,38,-31,23,131.57,79.63,241,3026,31263
f0:91:27:6b:7a:0a,39,-33,24,129.25,79.54,76,3102,31339
f0:91:27:6b:7a:0a,40,-37,25,127.52,79.70,86,3188,31425
f0:91:27:6b:7a:0a,41,-31,26,125.42,79.54,73,3261,31498
f0:91:27:6b:7a:0a,42,-31,27,123.48,79.38,73,3334,31571
f0:91:27:6b:7a:0a,44,-37,28,124.96,79.52,165,3499,31736
f0:91:27:6b:7a:0a,45,-31,29,123.24,79.42,75,3574,31811
f0:91:27:6b:7a:0a,47,-37,30,124.53,79.49,162,3736,31973
f0:91:27:6b:7a:0a,48,-29,31,122.97,79.42,76,3812,32049
f0:91:27:6b:7a:0a,49,-33,32,121.59,79.41,79,3891,32128
f0:91:27:6b:7a:0a,50,-33,33,120.06,79.24,71,3962,32199
f0:91:27:6b:7a:0a,51,-37,34,118.85,79.24,79,4041,32278
f0:91:27:6b:7a:0a,54,-33,35,122.23,79.22,237,4278,32515
f0:91:27:6b:7a:0a,55,-37,36,120.97,79.18,77,4355,32592
f0:91:27:6b:7a:0a,74,-38,37,158.08,79.04,1494,5849,34086
f0:91:27:6b:7a:0a,76,-31,38,157.92,78.96,152,6001,34238
f0:91:27:6b:7a:0a,77,-31,39,155.97,79.00,82,6083,34320
f0:91:27:6b:7a:0a,95,-31,40,187.27,78.85,1408,7491,35728
f0:91:27:6b:7a:0a,100,-32,41,192.17,78.79,388,7879,36116
f0:91:27:6b:7a:0a,101,-31,42,189.52,78.81,81,7960,36197
f0:91:27:6b:7a:0a,113,-29,43,207.23,78.86,951,8911,37148
f0:91:27:6b:7a:0a,119,-33,44,213.27,78.86,473,9384,37621
f0:91:27:6b:7a:0a,120,-36,45,210.07,78.78,69,9453,37690
f0:91:27:6b:7a:0a,121,-31,46,207.22,78.78,79,9532,37769
f0:91:27:6b:7a:0a,123,-32,47,206.21,78.80,160,9692,37929
f0:91:27:6b:7a:0a,138,-33,48,227.12,79.00,1210,10902,39139
f0:91:27:6b:7a:0a,139,-31,49,224.16,79.02,82,10984,39221
f0:91:27:6b:7a:0a,140,-31,50,221.26,79.02,79,11063,39300
f0:91:27:6b:7a:0a,141,-33,51,218.43,79.01,77,11140,39377
f0:91:27:6b:7a:0a,142,-33,52,215.79,79.02,81,11221,39458
f0:91:27:6b:7a:0a,145,-32,53,216.06,78.97,230,11451,39688
f0:91:27:6b:7a:0a,146,-37,54,213.56,78.99,81,11532,39769
f0:91:27:6b:7a:0a,147,-31,55,211.13,78.99,80,11612,39849
f0:91:27:6b:7a:0a,148,-33,56,208.68,78.96,74,11686,39923
f0:91:27:6b:7a:0a,149,-42,57,206.46,78.98,82,11768,40005
f0:91:27:6b:7a:0a,150,-33,58,204.28,78.99,80,11848,40085
